VO_ZH_Archive_Guinaifen_1.ogg  ||  我叫桂乃芬! 桂为嘉木, 乃者「是」也, 芬即芳看, 是不是好听又好记? 我平时在长乐天这边摆地杂要, 有空记得来看表演哦 ~
VO_ZH_Archive_Guinaifen_2.ogg  ||  哎呀呀，怎么感觉好久没见到你了？什么？昨天才见过我？嗐——一日不见，如隔三秋！
VO_ZH_Archive_Guinaifen_3.ogg  ||  下回见！我给你留着第一排的位置。虽然咱们撂地摆摊也谈不上什么「第一排」吧…
VO_ZH_Archive_Guinaifen_4.ogg  ||  我本名叫做「格妮薇儿」，桂乃芬是裳裳给我起的仙舟名字。你问裳裳是谁？就是云骑军的素裳呀！我闺蜜，你认识不？
VO_ZH_Archive_Guinaifen_5.ogg  ||  我家十几口兄弟姐呢！有个哥哥叫郎世乐，也在罗浮上讨生活，不过他好像还是更喜欢别人喊他「兰斯洛特」。
VO_ZH_Archive_Guinaifen_6.ogg  ||  小妹初到贵宝地，耍耍把式卖卖艺。仨瓜俩枣不嫌少，千金一掷显情义。闲言碎语不要讲，给您来段看家戏！
VO_ZH_Archive_Guinaifen_7.ogg  ||  你不觉得仙舟人的诗词歌赋都超级美好吗？之前我找裳裳教我写诗，她三个月憋出了四个字…我想我大概是学不。会了。
VO_ZH_Archive_Guinaifen_10.ogg  ||  在仙舟的尺度之下，咱们短生种可真像是白驹过隙一样——不过也正因如此，咱们才更应该把握当下呀
VO_ZH_Archive_Guinaifen_11.ogg  ||  长乐天有两个说相声的，阿往和阿来。这两个人还蛮热心肠的，帮我润色了好多文案，比如开演前的数来宝之类的。
VO_ZH_Archive_Guinaifen_13.ogg  ||  裳裳是我最好的朋友。在罗浮，除了那些街上的兄弟，就属她和我认识得最久。我之前还想拉着她结拜来着，可惜她不乐意。
VO_ZH_Archive_Guinaifen_14.ogg  ||  我听说将军大人对这些街头曲艺颇有兴趣？真希望有机会能去神策府里演一场，那我可就声名大噪了。
VO_ZH_Archive_Guinaifen_15.ogg  ||  虽然没和将军大人聊过天，我倒是和他那个侍卫打过交道。当时他问我是不是「用剑之人」，我呀，当场就给他表演了一个吞剑！
VO_ZH_Archive_Guinaifen_16.ogg  ||  青雀经常在长乐天打牌，有时候打累了就来看我杂耍。我现在能从她的脸色里看出她当天的胜负——桃红就是赢了，铁青就是输了，煞白就是领导来抓她了。
VO_ZH_Archive_Guinaifen_1.ogg  ||  
VO_ZH_Archive_Guinaifen_2.ogg  ||  
VO_ZH_Archive_Guinaifen_3.ogg  ||  
VO_ZH_Archive_Guinaifen_4.ogg  ||  
VO_ZH_Archive_Guinaifen_5.ogg  ||  
VO_ZH_Archive_Guinaifen_6.ogg  ||  
VO_ZH_Archive_Guinaifen_7.ogg  ||  
VO_ZH_Archive_Guinaifen_10.ogg  ||  
VO_ZH_Archive_Guinaifen_11.ogg  ||  
VO_ZH_Archive_Guinaifen_13.ogg  ||  
VO_ZH_Archive_Guinaifen_14.ogg  ||  
VO_ZH_Archive_Guinaifen_15.ogg  ||  
VO_ZH_Archive_Guinaifen_16.ogg  ||  
Special:Upload?wpDestFile=VO_ZH_Guinaifen_Battle_Begins_-_Weakness_Break_01.ogg  ||  哎呦，您可别放水。
