VO_ZH_Archive_Tingyun_1.ogg  ||  小女子名作停云，「罗浮」天舶司商团接渡使。接下来还要多多仰仗恩公啦。
VO_ZH_Archive_Tingyun_2.ogg  ||  您上哪儿去？也捎小女子一程~
VO_ZH_Archive_Tingyun_3.ogg  ||  哎呀，都这个时辰了，尾巴也耷拉下来了。对不住，小女子先告退了……
VO_ZH_Archive_Tingyun_4.ogg  ||  临睡前的护理可马虎不得，梳尾巴的梳子得用黄杨木的，指腹抹些香膏擦在根部，再包上素云纱睡上一觉，第二天尾巴就变得既柔软又蓬松了，您瞧是不是？
VO_ZH_Archive_Tingyun_5.ogg  ||  这镯子不是老货，只是那玉料绿得娇嫩，小女子实在是心生喜欢，特地请了雕工雕的。要我说呀，给本家商铺进货倒还容易，自个儿用的东西最难挑，看上眼还不够，还得看对眼~
VO_ZH_Archive_Tingyun_6.ogg  ||  谈生意嘛，以和为贵，遇到好说话的，那自然好；遇到不好说话的，就用扇子给他扇扇风，消消火气。
VO_ZH_Archive_Tingyun_7.ogg  ||  每逢出行前，小女子都会留封信，锁在本家商铺的抽屉里。要是顺利返航，回来烧去便是，权当消灾。万一要是不能…就当是给大家留个念想吧。
VO_ZH_Archive_Tingyun_8.ogg  ||  晚些时候，得闲就顺路去趟不夜侯，图热闹就聊上几句，图清闲就看人猜茶，权当练眼力的小添头，也有趣得很。
VO_ZH_Archive_Tingyun_9.ogg  ||  天舶司的诸位架势英武，小女子虽然百般仰慕，但也确实学不来…若是需要加加油添添醋，逞逞口舌功夫，倒还能使得上劲……
VO_ZH_Archive_Tingyun_10.ogg  ||  为了支援「存护」之主，天瑛矿石的收购价近来翻了一番。只是对那些矿藏富裕的世界来说，究竟是时来运转还是无妄之灾，到头来还得凭「公司」的主张……
VO_ZH_Archive_Tingyun_11.ogg  ||  小女子随「鸣火」见过的生灵，大多有迹可循，也有理可说。无法沟通的生灵才最为可怖，意味着它们并不利用「语言」令人屈服……
VO_ZH_Archive_Tingyun_12.ogg  ||  要说四两拨千斤的手段，将军大人最是得其精髓，小女子自愧不如。
VO_ZH_Archive_Tingyun_13.ogg  ||  曾送了些自觉稀奇的玩意儿给他，那孩子也会恭恭敬敬地道谢收下。直到小女子瞧见他在工造司挑选剑器，那眉飞色舞的样子…小孩子还是很好懂的。
VO_ZH_Archive_Tingyun_14.ogg  ||  无论是驾驶星槎亦或统领天舶司，仙舟的航向上始终都有驭空大人的身影。论「使舵」的本领，小女子还所差甚远。
VO_ZH_Archive_Tingyun_15.ogg  ||  天外的行商？居然不在「鸣火」的名录上么…奇怪，我怎么记不清了。
