VO_JA_Archive_Bailu_1.ogg  ||  わしは白露、丹鼎司の医者じゃ。ほれ、もっと寄らんか。それで、どこが悪いんじゃ？
VO_JA_Archive_Bailu_2.ogg  ||  飴ちゃんはいるか？食わぬなら、わしが食うぞ。
VO_JA_Archive_Bailu_3.ogg  ||  うう、もう帰るのか…もう少し外にいよう、もう少しだけ！
VO_JA_Archive_Bailu_4.ogg  ||  わしも龍と呼べるのか？活動範囲は屋敷の中に限られ、一言一行は族内の規則に従わねばならぬ。このような生き方…籠に入った魚と一緒じゃろ？
VO_JA_Archive_Bailu_5.ogg  ||  昼食は君臣一体にこだわっておる。燻製ハンバーグ2個に、ミルクティー1杯、これぞ心の憂いを癒し、気分を晴れやかにする最良の組み合わせなのじゃ。
VO_JA_Archive_Bailu_6.ogg  ||  医学を理解したうえで、生薬を探し、新たな可能性を拓く…うむ、薬にできぬものはない。難しい病ほど、型にはまった治療法に頼らぬほうがよいものじゃ。
VO_JA_Archive_Bailu_7.ogg  ||  この世には、わしでも治せぬ病が1つだけある。それは、つまり…背が…背が、伸・び・ぬ、ことじゃ…うぐぐ、ふん！
VO_JA_Archive_Bailu_8.ogg  ||  顔を水に浸けると、狭い天地とはいえ、いつもより自由に呼吸ができる気がする…まるで、水の境界を超えたような……
VO_JA_Archive_Bailu_9.ogg  ||  患者から聞いたぞ、至味盛苑が新品の甘味を出したらしい！「落九天」と言って、ながーく、ながーく伸びる飴で…残念じゃが、わしは食べられん。
VO_JA_Archive_Bailu_10.ogg  ||  将軍が診察にくる時は、大抵「眠くて目が開かない」とかの症状で、わしの近況を聞いて少し休んだら、すぐに帰ってしまうのじゃ。たまに煎じ薬を忘れていくこともあるしのう……
VO_JA_Archive_Bailu_11.ogg  ||  太卜が残業すると、視力回復の薬茶に使う粉飴の在庫がすぐ切れる…
VO_JA_Archive_Bailu_12.ogg  ||  舵取か…わしに会うたび昔のことは忘れたと言っておるが、本当のところは違うのじゃろうな。
VO_JA_Archive_Bailu_13.ogg  ||  停雲は一般人よりも激しいマッサージに耐えられるからな、彼女には「手加減」なしで施術しておる！
VO_JA_Archive_Bailu_14.ogg  ||  まったく…屋敷から出ずとも、あの小娘の声が聞こえるぞ。「頼まれたら必ず応じる」——ほらな？
VO_JA_Archive_Bailu_15.ogg  ||  もっと早く「帝垣美玉」の発明者に出会いたかった…これほど知力の活性化に役立つ遊技は、広く知られるべきじゃ！
VO_JA_Archive_Bailu_16.ogg  ||  わしが抜け出し長楽天で遊んでいた時に、よく素裳と共に診察をしてくれと言ってきたぞ。何回かは素裳に担がれて来て、何回かは素裳を担いで来ておった。ああ、2人とも怪我をしておったことも何回かあったな——理由？演目中の事故じゃ。
VO_JA_Bailu_Battle_Begins_-_Weakness_Break_01.ogg  ||  おや、弱っておるようじゃ。
VO_JA_Bailu_Battle_Begins_-_Danger_Alert_01.ogg  ||  怖い顔して、頭に血が上ったか？
VO_JA_Bailu_Turn_Begins_01.ogg  ||  ぬし、重傷じゃぞ！
VO_JA_Bailu_Turn_Begins_02.ogg  ||  わしが治してやろうか～？
VO_JA_Bailu_Turn_Idling_01.ogg  ||  動かぬ上に喋らぬのう、だるまさんがころんだ～
VO_JA_Bailu_Basic_ATK_01.ogg  ||  望・聞・問⋯蹴！
VO_JA_Bailu_Skill_01.ogg  ||  よしよし、口を開けよ。
VO_JA_Bailu_Skill_02.ogg  ||  ほれ、身体によいぞ～
VO_JA_Bailu_Hit_by_Light_Attack_01.ogg  ||  わしをいじめるなっ！
VO_JA_Bailu_Hit_by_Heavy_Attack_01.ogg  ||  助けてくれ——
VO_JA_Bailu_Ultimate_-_Activate_01.ogg  ||  見せてやろう⋯
VO_JA_Bailu_Ultimate_-_Unleash_01.ogg  ||  ひょうたんの中の薬よ！
VO_JA_Bailu_Talent_01.ogg  ||  応急処置じゃ。
VO_JA_Bailu_Downed_01.ogg  ||  自分は治せぬか⋯
VO_JA_Bailu_Return_to_Battle_01.ogg  ||  わしも治療を諦めはせぬ。
VO_JA_Bailu_Health_Recovery_01.ogg  ||  良く効くのう！
VO_JA_Bailu_Technique_01.ogg  ||  一視同仁にな。
VO_JA_Bailu_Battle_Won_01.ogg  ||  うむ、已病を治さず、未病を治すんじゃ。
VO_JA_Bailu_Treasure_Opening_01.ogg  ||  病気を治せるのなら良薬じゃ。
VO_JA_Bailu_Successful_Puzzle-Solving_01.ogg  ||  疑惑を論じ、誤りを取り除いたか。
VO_JA_Bailu_Enemy_Target_Found_01.ogg  ||  命にかかわることじゃ、用心せよ。
VO_JA_Bailu_Returning_to_Town_01.ogg  ||  もう少し外にいよう、な？よいじゃろ？
