VO_JA_Archive_Tingyun_1.ogg  ||  私は停雲、「羅浮」天舶司の商団の接渡使です。以後よろしくお願いしますね。
VO_JA_Archive_Tingyun_2.ogg  ||  どちらへ行かれるので？私もご一緒させてください。
VO_JA_Archive_Tingyun_3.ogg  ||  あら、もうこんな時間、しっぽも垂れてきましたね。申し訳ございませんが、私は先に失礼させていただきます……
VO_JA_Archive_Tingyun_4.ogg  ||  寝る前のケアを怠ってはなりません。尻尾を梳かす櫛はツゲ材のものを使い、指の腹で香膏をすくって根元に塗ったら、最後に素雲紗で尻尾を包む。それから寝床につくと、翌朝には尻尾がふわふわになっているんです。ほら、恩人様もそう思いません？
VO_JA_Archive_Tingyun_5.ogg  ||  これは古物ではないのですが、あまりにも瑞々しい緑色に心を奪われ、職人さんに腕輪にしてもらったのです。まったく、本家の店の商品を買い付けるのは簡単でも、自分のものを選ぶとなると、難しくて仕方ありませんね。自分の好みだけでなく、縁も必要なのですから。
VO_JA_Archive_Tingyun_6.ogg  ||  商売をするうえで、話の通じる方と出会えるのは喜ばしいことです。そうでない方は…ふふっ、この扇子で熱を冷まして差し上げなければ。
VO_JA_Archive_Tingyun_7.ogg  ||  出航する前は、必ず本家の店の引き出しに手紙をしまっておくのです。無事に帰ってくることができたら、厄払いの意味を込めて燃やすようにしています。もし帰ってこられなかったら…皆も遺書として扱ってくれるでしょう。
VO_JA_Archive_Tingyun_8.ogg  ||  日が暮れて暇になった時は、よくフヤコウに行っています。騒ぎたい時は皆と会話を楽しみ、静かに過ごしたい時は、人を見て飲んでいる茶を当てるのです。眼力を磨く練習にもなって、面白いですよ。
VO_JA_Archive_Tingyun_9.ogg  ||  天舶司の面々は勇ましくて羨ましい限りですが…あれは私には達せない域でしょうね…誰かを唆したり、雄弁を振るうくらいならできそうですが……
VO_JA_Archive_Tingyun_10.ogg  ||  「存護」を支援するために、最近クォーツの買値が2倍に跳ね上がりました。鉱物に恵まれた世界にとって、それが幸運なのか不運なのかはわかりませんが、すべては「カンパニー」の意志によって決まるのです……
VO_JA_Archive_Tingyun_11.ogg  ||  私が「鳴火」で見てきた生物のほとんどは理に適っていましたが、そうでもないものもいます。最も危険なのは交渉が通じない相手、つまり「言葉」で屈服しない生物です……
VO_JA_Archive_Tingyun_12.ogg  ||  将軍様こそ、柔よく剛を制す手段の真髄を掴んだ方と言えるでしょう。私など…ふふっ。
