VO_JA_Archive_Welt_1.ogg  ||  やあ、俺はヴェルト・ヨウだ。困ったことがあれば、俺を探すといい。
VO_JA_Archive_Welt_2.ogg  ||  おや？まだ眠いのか？無理をするな、少し寝るといい。
VO_JA_Archive_Welt_3.ogg  ||  寝れないのか？わかるぞ、インスピレーションは夜に訪れる上に、抗いがたいものだ。そうだろう？
VO_JA_Archive_Welt_5.ogg  ||  アニメの原画を八年ほど描いていたが、基本的には会社と自宅を往復するだけだった。冒険と比べれば「退屈」かもしれないが、この仕事は価値のあるもので、他人に夢を与えることができる。
VO_JA_Archive_Welt_6.ogg  ||  長い話になるうえに、忘れたい人間や出来事にも言及しなければならない。やはりやめておこう。とにかく、宇宙で迷子になっていたところで、幸運にも列車と姫子に出会ったんだ。
VO_JA_Archive_Welt_4.ogg  ||  アラハトを観たいのか？このシリーズは俺の故郷で放送されていたんだが、宇宙で観る手段があるかどうかはわからない…「投影」で数話程度なら再現することはできるが、再現度は保証できない。
VO_JA_Archive_Welt_7.ogg  ||  歴史の研究、アニメ制作…2つの間に矛盾はない。
VO_JA_Archive_Welt_8.ogg  ||  君はまるでアニメの主人公のようだ。仲間が自然と君の傍に集まる…誤解しないでくれ、ただ感慨に耽っていただけだ。俺自身が冒険できる機会はあまりないからな……
VO_JA_Archive_Welt_13.ogg  ||  俺の故郷は一度、「崩壊」というエネルギーに侵蝕された。だが、それによって故郷が美しさや温かさを失ったわけではない。
VO_JA_Archive_Welt_14.ogg  ||  「存護」のクリフォトの信者がどのように「スターピースカンパニー」になったか知っているか？神は壁を造ろうとし、人間は神に付き従うため、その材料を探し始めた——この話はブラックユーモアに満ちていると思わないか？
VO_JA_Archive_Welt_9.ogg  ||  なのかは何事に対しても興味を持つ。そのせいか、様々な戦闘のポーズを実演してくれとせがまれるんだ。カッコいいからと言うんだが、本当にそうなのだろうか？君もそう思う？なるほど。
VO_JA_Archive_Welt_10.ogg  ||  丹恒は信頼できる存在だ。何かを抱えているのは知っているが…彼はもう立派な列車組の一員なんだ。俺と姫子は、誰にも彼を傷付けさせるつもりはない。
VO_JA_Archive_Welt_11.ogg  ||  姫子は何というか…輝きを放つタイプの人間だ。俺たちは列車のかつての航路を辿っているだけだが、姫子を見ていると、彼女の夢が煌めいてることがわかる。姫子はずっと列車に乗り、彼女の星穹に向かっているのだろう。
VO_JA_Archive_Welt_12.ogg  ||  助けを必要としている時、パムはすぐに現れる。だが、いたずらにパムを呼び出したりするなよ。以前そうした人間は……
VO_JA_Archive_Welt_15.ogg  ||  好きな言葉があるんだ。それを彼に贈ろうと思う——「銀河にはあらゆる可能性がある。人間の運命も、神に与えられた道だけではない」。
VO_JA_Archive_Welt_Eidolon_Activation.ogg  ||  新たな冒険に、仲間か…悪くないな。
VO_JA_Archive_Welt_Character_Ascension.ogg  ||  戻ってきたのは…当時の情熱と激情だけじゃない。
VO_JA_Archive_Welt_Max_Level_Reached.ogg  ||  広大な星の海の間にも、俺たちの痕跡が残るだろう。
VO_JA_Archive_Welt_Trace_Activation.ogg  ||  みんなと一緒にいると、俺もどんどん若くなっていく気がするな。
VO_JA_Archive_Welt_Added_to_Team_With_Himeko.ogg  ||  姫子と一緒に戦える機会は少ない、今度は俺たちが実力を発揮する番だ。
VO_JA_Archive_Welt_Added_to_Team_With_Dan_Heng.ogg  ||  丹恒がいれば安心だが…あまり無理をするなよ。
VO_JA_Archive_Welt_Added_to_Team_With_March_7th.ogg  ||  若者が元気なのは良いことだが…動く前に俺に声をかけてくれ、なのか。
VO_JA_Welt_Battle_Begins_-_Weakness_Break_01.ogg  ||  痛い目に遭いたいようだな。
VO_JA_Welt_Battle_Begins_-_Danger_Alert_01.ogg  ||  冷静さを保て。
VO_JA_Welt_Turn_Begins_01.ogg  ||  続きは、俺に任せろ。
VO_JA_Welt_Turn_Begins_02.ogg  ||  今去るのなら、見逃そう。
VO_JA_Welt_Turn_Idling_01.ogg  ||  そろそろ決着をつけないとな。
VO_JA_Welt_Basic_ATK_02.ogg  ||  下がれ。
VO_JA_Welt_Skill_01.ogg  ||  頭を冷やすといい。
VO_JA_Welt_Skill_02.ogg  ||  手加減はしない！
VO_JA_Welt_Hit_by_Light_Attack_01.ogg  ||  大事ない。
VO_JA_Welt_Hit_by_Heavy_Attack_01.ogg  ||  これしき……
VO_JA_Welt_Ultimate_-_Activate_01.ogg  ||  君らは、この力について何も知らない。
VO_JA_Welt_Ultimate_-_Unleash_01.ogg  ||  星が砕け散る様を見るがいい。生と死…君らに選ぶ余地はない。
VO_JA_Welt_Downed_01.ogg  ||  君たちに…任せた…
VO_JA_Welt_Return_to_Battle_01.ogg  ||  やはり心配だな。
VO_JA_Welt_Health_Recovery_01.ogg  ||  時機を読んだ良い治療だ。
VO_JA_Welt_Technique_01.ogg  ||  留まれ。
VO_JA_Welt_Battle_Won_01.ogg  ||  この銀河は、あらゆる可能性を受け入れる。
VO_JA_Welt_Treasure_Opening_01.ogg  ||  なかなか面白いな。
Special:Upload?wpDestFile=VO_JA_Welt_Treasure_Opening_02.ogg  ||  きっと役に立つだろう。
VO_JA_Welt_Successful_Puzzle-Solving_01.ogg  ||  手応えがあったな。
VO_JA_Welt_Enemy_Target_Found_01.ogg  ||  手強そうだが、試してみる価値はある。
VO_JA_Welt_Returning_to_Town_01.ogg  ||  目的地は…君たちが決めればいい。
